origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-25,ARI incidence,2026-02-22,1,BG,median,,963.79175
2026-02-25,ARI incidence,2026-03-01,2,BG,median,,902.04877
2026-02-25,ARI incidence,2026-03-08,3,BG,median,,847.9889
2026-02-25,ARI incidence,2026-03-15,4,BG,median,,859.93616
2026-02-25,ARI incidence,2026-02-22,1,CY,median,,17209.48
2026-02-25,ARI incidence,2026-03-01,2,CY,median,,16530.52
2026-02-25,ARI incidence,2026-03-08,3,CY,median,,15642.148
2026-02-25,ARI incidence,2026-03-15,4,CY,median,,14833.36
2026-02-25,ARI incidence,2026-02-22,1,CZ,median,,1080.9678
2026-02-25,ARI incidence,2026-03-01,2,CZ,median,,1069.6917
2026-02-25,ARI incidence,2026-03-08,3,CZ,median,,1055.8685
2026-02-25,ARI incidence,2026-03-15,4,CZ,median,,1025.516
2026-02-25,ARI incidence,2026-02-22,1,DE,median,,1743.6772
2026-02-25,ARI incidence,2026-03-01,2,DE,median,,1720.103
2026-02-25,ARI incidence,2026-03-08,3,DE,median,,1655.0198
2026-02-25,ARI incidence,2026-03-15,4,DE,median,,1570.8954
2026-02-25,ARI incidence,2026-02-22,1,EE,median,,287.5692
2026-02-25,ARI incidence,2026-03-01,2,EE,median,,282.74673
2026-02-25,ARI incidence,2026-03-08,3,EE,median,,274.22192
2026-02-25,ARI incidence,2026-03-15,4,EE,median,,267.28162
2026-02-25,ARI incidence,2026-02-22,1,ES,median,,445.7379
2026-02-25,ARI incidence,2026-03-01,2,ES,median,,436.59436
2026-02-25,ARI incidence,2026-03-08,3,ES,median,,433.39758
2026-02-25,ARI incidence,2026-03-15,4,ES,median,,429.69507
2026-02-25,ARI incidence,2026-02-22,1,FI,median,,2799.0283
2026-02-25,ARI incidence,2026-03-01,2,FI,median,,2768.155
2026-02-25,ARI incidence,2026-03-08,3,FI,median,,2711.3787
2026-02-25,ARI incidence,2026-03-15,4,FI,median,,2677.7302
2026-02-25,ARI incidence,2026-02-22,1,FR,median,,235.82155
2026-02-25,ARI incidence,2026-03-01,2,FR,median,,187.4065
2026-02-25,ARI incidence,2026-03-08,3,FR,median,,171.94562
2026-02-25,ARI incidence,2026-03-15,4,FR,median,,161.89015
2026-02-25,ARI incidence,2026-02-22,1,HU,median,,2864.1855
2026-02-25,ARI incidence,2026-03-01,2,HU,median,,2800.5696
2026-02-25,ARI incidence,2026-03-08,3,HU,median,,2611.3962
2026-02-25,ARI incidence,2026-03-15,4,HU,median,,2257.9968
2026-02-25,ARI incidence,2026-02-22,1,IE,median,,68.720795
2026-02-25,ARI incidence,2026-03-01,2,IE,median,,67.795555
2026-02-25,ARI incidence,2026-03-08,3,IE,median,,66.06603
