origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.01,709.97
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.01,444.25
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.01,250.30
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.01,124.10
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.025,776.70
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.025,468.88
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.025,257.19
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.025,130.20
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.05,836.76
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.05,485.19
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.05,264.56
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.05,135.89
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.1,910.67
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.1,517.59
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.1,283.69
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.1,147.16
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.15,946.29
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.15,548.30
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.15,299.49
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.15,159.82
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.2,971.30
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.2,569.83
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.2,313.79
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.2,167.54
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.25,991.65
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.25,584.20
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.25,324.38
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.25,174.10
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.3,1016.11
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.3,598.62
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.3,336.14
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.3,180.80
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.35,1045.96
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.35,620.38
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.35,353.22
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.35,191.65
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.4,1082.10
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.4,641.82
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.4,367.88
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.4,204.36
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.45,1116.62
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.45,681.97
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.45,388.32
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.45,215.09
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.5,1148.80
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.5,705.30
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.5,413.10
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.5,230.95
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.55,1178.85
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.55,732.09
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.55,435.25
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.55,245.94
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.6,1214.90
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.6,775.10
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.6,461.34
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.6,264.20
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.65,1268.28
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.65,839.00
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.65,514.93
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.65,290.61
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.7,1365.09
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.7,878.63
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.7,538.27
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.7,319.26
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.75,1421.80
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.75,945.90
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.75,593.95
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.75,352.23
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.8,1557.34
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.8,1027.30
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.8,638.94
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.8,377.32
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.85,1618.21
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.85,1078.24
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.85,680.00
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.85,414.25
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.9,1719.12
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.9,1210.34
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.9,803.45
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.9,512.85
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.95,1798.73
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.95,1286.07
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.95,871.03
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.95,558.84
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.975,1849.21
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.975,1332.33
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.975,905.13
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.975,594.45
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.99,2010.91
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.99,1474.64
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.99,1024.11
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.99,684.00
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.01,402.72
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.01,354.24
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.01,297.92
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.01,240.72
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.025,411.03
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.025,362.39
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.025,306.48
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.025,247.75
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.05,420.20
